_class,id,headline,title,url,avg_rating
course,2203632,"Become fluent by improving all your English Skills. Build a strong English foundation in grammar, speaking, and more!",English Foundation Course 2023: Grammar and Speaking Upgrade,/course/english-grammar-one/,4.358108
course,171838,"Ex-Wall Street Journal Editor Teaches How To Make Your Blogs, Books & Business Writing Sparkle",Secret Sauce of Great Writing,/course/secret-sauce-of-great-writing/,4.3772893
course,1298462,The power of the digital art standard at your finger tips,Photoshop Fundamentals,/course/photoshop-fundamentals-in-one-hour/,4.546875
course,4739416,Mathematics from high school to university,Mathematics: Fun tricks for everybody,/course/fun-tricks/,4.625
course,387820,Program a complete game today. No special software or install required. All you need is a text editor and a web browser.,Code Your First Game: Arcade Classic in JavaScript on Canvas,/course/code-your-first-game/,4.4476743
course,1948098,"Learn Hands-on Containerization and Orchestration with Docker Ecosystem (Docker, Compose and Swarm)",Docker Essentials,/course/docker-essentials/,4.4636364
course,5060104,Master ChatGPT to skyrocket your business to the next level and simplify your life - Start using ChatGPT Today!,ChatGPT for Beginners:  The Ultimate Use Cases for Everyone,/course/chatgpt-for-beginners-the-ultimate-use-cases-for-everyone/,3.7857144
course,1122334,Cloud Computing made simple with real world practical examples,A Practical Introduction to Cloud Computing,/course/introduction-cloud-computing/,4.544025
course,4736328,Mathematics from high school to university,Mathematics: Proofs by induction,/course/proofs-by-induction/,4.9666667
course,1106668,"Pivot Tables, Charts, Sparklines, functions, formulas and more - in just a couple of hours",Microsoft Excel - Improve your skills quickly,/course/microsoft-excel-improve-your-skills-quickly/,4.4038463
course,5090282,"Stop Procrastinating, Start Prioritizing - Enroll in!",Time Management Secrets: 10X Your Productivity In 41 Minutes,/course/time-management-at-work/,4.6764708
course,333610,"Learn elementary networking concepts in less than 60 minutes. Great before going for General Networking, MTA or CCNA",Introduction to networking for complete beginners,/course/introduction-to-networking-for-complete-beginners/,4.305825
course,2968824,Build an ANN Regression model to predict the electrical energy output of a Combined Cycle Power Plant,Artificial Neural Network for Regression,/course/linear-regression-with-artificial-neural-network/,4.556225
course,2222850,Learn Node JS API Development from absolute scratch. This course is for complete beginners getting started guide!,Node JS API Development for Beginners,/course/node-js-api-tutorial/,4.4774776
course,2657572,Start now to create your 3D Scenes!,Free Blender Crash Course!,/course/blender-crash-course/,4.472973
course,584648,Learn advanced T-SQL Querying concepts. Go from a beginner SQL programmer to writing complex SQL Queries.,Advanced Databases and SQL Querying,/course/advanced-tsql-querying-using-sql-2014/,4.362069
course,2222856,Learn React JS along with Modern JavaScript from absolute scratch. This course is a getting started guide for beginners.,React JS Frontend Web Development for Beginners,/course/react-tutorial/,4.4846153
course,702210,Complete Python Programming in 30 min - Get ready for Advanced Concepts.,Python from Beginner to Intermediate in 30 min.,/course/python-from-beginner-to-expert-starter-free/,4.10733
course,2862896,"Join Shelley Osborne, VP of Learning, for her best tips to set yourself up for success when working from home.",Best Practices for Working Remotely,/course/quick-guide-to-working-remotely-from-vp-of-learning/,4.5456853
course,4531610,Mathematics from high school to university,Mathematics: Completing the square,/course/completing-the-square/,4.7777777
course,352440,"Learn to See Agile and Waterfall in a Fresh, New Perspective as Complementary Rather Than Competitive",Agile PM 101 - Learn the Truth About Agile versus Waterfall,/course/learn-the-truth-about-agile-versus-waterfall/,4.470847
course,366280,Learn how to connect to a MySQL database with Java JDBC,Java Database Connection: JDBC and MySQL,/course/how-to-connect-java-jdbc-to-mysql/,4.5381355
course,5278984,"Masterclass Worth Every Penny. Grow 100,000 Followers Fast!",ChatGPT Prompt Engineering: 205+ Prompts Examples,/course/chatgpt-prompt-masterclass-live-examples/,4.141667
course,1164120,Easy self help steps & actions everyone can overlay on their existing routine to achieve better health & happiness,Powerful Self Healing in 5 Simple Steps - Self Help Course,/course/self-help-course/,4.465909
course,580342,"Use a proven goal setting strategy to increase your productivity, leadership and management skills. Achieve more today.",How to Use SMART Goals: Achieve More in Less Time,/course/goal-setting/,4.35567
course,1117528,Learn the Security Fundamentals required for your everyday online presence.,Cyber Security Course for Beginners - Level 01,/course/certified-secure-netizen/,4.112903
course,5289502,Learn How to Make a Simple 2D Game in Unity,Basics of C# and Unity for Complete Beginners - Part 1,/course/free-part1-alexdev/,4.7380953
course,5328100,Use ChatGPT & Midjourney for T-Shirt Design: Start a Print on Demand Business from Home Chat GPT & Midjourney Etsy & IA.,Start a T-Shirt Business: ChatGPT & Midjourney & Etsy and IA,/course/start-a-t-shirt-business-with-chatgpt-midjourney-etsy/,4.711382
course,2674318,The Easiest Way to Make Money With Affiliate Marketing (Download the 5 Step Blueprint),FREE Affiliate Marketing Course for Beginners,/course/free-affiliate-marketing-course-for-beginners/,4.359649
course,910996,"You will learn what your digital brand says about you through your social media pictures, website and more.",Digital Body Language,/course/digital-body-language/,4.3461537
course,1029442,A brief introduction to great herbal medicine remedies that you can easily make at home.,Herbalism :: Essential Herbal Medicine Favorites,/course/home-remedies/,4.632653
course,341182,Psychology and science. Discover how 4 brainstructures control our emotions and decisions,Meet your brain: a short introduction to neuroscience,/course/meet-your-brain/,4.613402
course,1413516,From newbie to pro in a day with 5 brain teasing exercises and full solutions provided.,Learn Python for Total Beginners,/course/python-3-for-total-beginners/,4.529762
